FECHA_ACCIDENTE,AÑO_ACCIDENTE,MES_ACCIDENTE,DIA_ACCIDENTE,HORA_ACCIDENTE,MOMENTO_DIA,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SITIO_EXACTO_ACCIDENTE,LATITUD,LONGITUD,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,ZONA
2017-12-24 21:30:00,2017,12,Dom,09:30:00:PM,Noche,Con heridos,Choque,CR 6  CL 94,10.9465858,-74.82651259999999,1.0,0.0,1,SUR
2015-01-01 14:10:00,2015,1,Jue,02:10:00:PM,Tarde,Con heridos,Choque,VIA 40 CON 77,11.0161888,-74.79532689999998,1.0,0.0,1,NORTE
2015-01-01 14:15:00,2015,1,Jue,02:15:00:PM,Tarde,Solo daños,Choque,CALLE 14 CR 13,10.9529652,-74.77188220000002,0.0,0.0,1,CENTRO
2015-01-01 14:20:00,2015,1,Jue,02:20:00:PM,Tarde,Solo daños,Choque,CL 74 CR 38C,10.9857066,-74.81242040000002,0.0,0.0,1,NORTE
2015-01-01 15:30:00,2015,1,Jue,03:30:00:PM,Tarde,Con heridos,Choque,CL 45 CR 19,10.958396400000002,-74.79471000000002,2.0,0.0,1,CENTRO
2015-01-01 04:20:00,2015,1,Jue,04:20:00:AM,Madrugada,Solo daños,Choque,CRA 15 CLLE 21,10.9535005,-74.77620259999998,0.0,0.0,1,CENTRO
2015-01-01 16:40:00,2015,1,Jue,04:40:00:PM,Tarde,Con heridos,Choque,CRA 14 CLLE 35,10.951457,-74.7888007,2.0,0.0,1,CENTRO
2015-01-01 16:50:00,2015,1,Jue,04:50:00:PM,Tarde,Con heridos,Atropello,CRA 6 CLLE 90,10.9449431,-74.8239093,1.0,0.0,1,SUR
2015-01-01 06:00:00,2015,1,Jue,06:00:00:AM,Mañana,Solo daños,Choque,CRA 6 CLLE 92,10.9444461,-74.82552830000002,0.0,0.0,1,SUR
2015-01-01 19:50:00,2015,1,Jue,07:50:00:PM,Noche,Solo daños,Choque,CALLE 99 CR 56,11.0161353,-74.8264777,0.0,0.0,1,NORTE
2015-01-01 21:25:00,2015,1,Jue,09:25:00:PM,Noche,Solo daños,Choque,CL 47 CR 24,10.9671994,-74.79255140000002,0.0,0.0,1,CENTRO
2015-01-02 13:00:00,2015,1,Vie,01:00:00:PM,Medio dia,Solo daños,Choque,CLLE 64 CRA 44,10.988912,-74.79912,0.0,0.0,1,NORTE
2015-01-02 15:10:00,2015,1,Vie,03:10:00:PM,Tarde,Solo daños,Choque,CALLE 110 CR 51B,11.0163094,-74.8479578,0.0,0.0,1,NORTE
2015-01-02 16:00:00,2015,1,Vie,04:00:00:PM,Tarde,Solo daños,Choque,CL 80 CR 42H,10.9957165,-74.8162959,0.0,0.0,1,NORTE
2015-01-02 16:05:00,2015,1,Vie,04:05:00:PM,Tarde,Solo daños,Choque,AV CIRCUNVALAR CR 43 Y CR 46,11.0004774,-74.84121479999997,0.0,0.0,1,NORTE
2015-01-02 04:20:00,2015,1,Vie,04:20:00:AM,Madrugada,Con muertos,Atropello,CLLE 19 CRA 1,10.936994,-74.77969859999997,0.0,1.0,1,CENTRO
2015-01-02 16:40:00,2015,1,Vie,04:40:00:PM,Tarde,Solo daños,Choque,CR 46 CL 79,10.9978782,-74.8121558,0.0,0.0,1,NORTE
2015-01-02 17:19:00,2015,1,Vie,05:19:00:PM,Tarde,Solo daños,Choque,CL 72 CR 53,10.9983184,-74.80248510000001,0.0,0.0,1,NORTE
2015-01-02 17:45:00,2015,1,Vie,05:45:00:PM,Tarde,Solo daños,Choque,CLLE 53 CRA 46,10.9887032,-74.7894895,0.0,0.0,1,CENTRO
2015-01-02 18:30:00,2015,1,Vie,06:30:00:PM,Tarde,Solo daños,Choque,CR 53 CL 82,11.0061612,-74.81332689999998,0.0,0.0,1,NORTE
2015-01-02 07:40:00,2015,1,Vie,07:40:00:AM,Mañana,Solo daños,Choque,CR 27 CL 38,10.967657699999998,-74.7855721,0.0,0.0,1,CENTRO
2015-01-02 08:15:00,2015,1,Vie,08:15:00:AM,Mañana,Solo daños,Choque,CRA 14 CLLE 38B,10.952881199999998,-74.7931936,0.0,0.0,1,CENTRO
2015-01-02 09:00:00,2015,1,Vie,09:00:00:AM,Mañana,Solo daños,Choque,CALLE 64 CR 47,10.9924131,-74.7981296,0.0,0.0,1,NORTE
2015-01-02 21:30:00,2015,1,Vie,09:30:00:PM,Noche,Solo daños,Choque,CLLE 87 CRA 9G,10.958247,-74.8250156,0.0,0.0,1,SUR
2015-01-03 13:50:00,2015,1,Sáb,01:50:00:PM,Medio dia,Solo daños,Choque,CALLE 70 CR 53,10.9972485,-74.8007063,0.0,0.0,1,NORTE
2015-01-03 14:30:00,2015,1,Sáb,02:30:00:PM,Tarde,Solo daños,Choque,CL 86 CR 59B,11.01613,-74.818525,0.0,0.0,1,NORTE
2015-01-03 15:00:00,2015,1,Sáb,03:00:00:PM,Tarde,Solo daños,Choque,CRA 44 CLLE 59,10.9873824,-74.79575919999998,0.0,0.0,1,CENTRO
2015-01-03 15:50:00,2015,1,Sáb,03:50:00:PM,Tarde,Solo daños,Choque,CLLE 53D CRA 14,10.9590954,-74.804498,0.0,0.0,1,SUR
2015-01-03 17:30:00,2015,1,Sáb,05:30:00:PM,Tarde,Solo daños,Choque,CRA 44 CLLE 48,10.985143699999998,-74.78801779999998,0.0,0.0,1,CENTRO
2015-01-03 08:00:00,2015,1,Sáb,08:00:00:AM,Mañana,Solo daños,Choque,CLLE C98 CRA 51B,11.016722,-74.845049,0.0,0.0,1,NORTE
2015-01-03 20:00:00,2015,1,Sáb,08:00:00:PM,Noche,Solo daños,Choque,CL 96 CR 4,10.9328542,-74.82771609999998,0.0,0.0,1,SUR
2015-01-03 09:00:00,2015,1,Sáb,09:00:00:AM,Mañana,Solo daños,Choque,CR 42H CL 84B,10.9979349,-74.821534,0.0,0.0,1,NORTE
2015-01-03 22:51:00,2015,1,Sáb,10:51:00:PM,Noche,Solo daños,Choque,CR 42 CL 76,10.9923109,-74.81365869999998,0.0,0.0,1,NORTE
2015-01-03 23:00:00,2015,1,Sáb,11:00:00:PM,Noche,Solo daños,Choque,AVENIDA 110 CRA 15,11.004107199999998,-74.80698129999998,0.0,0.0,1,NORTE
2015-01-03 12:30:00,2015,1,Sáb,12:30:00:PM,Medio dia,Solo daños,Choque,CLLE 76 CRA 60,11.0067707,-74.8001673,0.0,0.0,1,NORTE
2015-01-04 01:00:00,2015,1,Dom,01:00:00:AM,Madrugada,Solo daños,Choque,CALLE 82 CR 59,11.0102435,-74.81122239999998,0.0,0.0,1,NORTE
2015-01-04 02:45:00,2015,1,Dom,02:45:00:AM,Madrugada,Con heridos,Choque,CRA 24 CLLE 53D,10.9695165,-74.7969719,1.0,0.0,1,CENTRO
2015-01-04 15:10:00,2015,1,Dom,03:10:00:PM,Tarde,Solo daños,Choque,CR 30 CL 47,10.9723721,-74.79054119999998,0.0,0.0,1,CENTRO
2015-01-04 03:24:00,2015,1,Dom,03:24:00:AM,Madrugada,Solo daños,Choque,CALLE 110 CR 9G,10.950268199999998,-74.8562908,0.0,0.0,1,SUR
2015-01-04 15:30:00,2015,1,Dom,03:30:00:PM,Tarde,Solo daños,Choque,CR 22 48 46,10.9665272,-74.7954736,0.0,0.0,1,CENTRO
2015-01-04 19:00:00,2015,1,Dom,07:00:00:PM,Noche,Solo daños,Choque,CRA 23 CLLE 57,10.9699177,-74.80133719999998,0.0,0.0,1,CENTRO
2015-01-04 11:40:00,2015,1,Dom,11:40:00:AM,Medio dia,Solo daños,Choque,CL 94 CR 3B,10.9396731,-74.8270766,0.0,0.0,1,SUR
2015-01-05 14:20:00,2015,1,Lun,02:20:00:PM,Tarde,Solo daños,Choque,CLLE 53 CRA 50 21,10.990930699999998,-74.7900641,0.0,0.0,1,CENTRO
2015-01-05 14:30:00,2015,1,Lun,02:30:00:PM,Tarde,Solo daños,Choque,CLLE 99 CRA 53,11.0145061,-74.82758170000002,0.0,0.0,1,NORTE
2015-01-05 16:00:00,2015,1,Lun,04:00:00:PM,Tarde,Solo daños,Choque,CLLE 45 CRA 36,10.9779446,-74.7877793,0.0,0.0,1,CENTRO
2015-01-05 16:50:00,2015,1,Lun,04:50:00:PM,Tarde,Con heridos,Choque,CLLE C30 CRA 6,10.9449,-74.8240392,1.0,0.0,1,SUR
2015-01-05 18:30:00,2015,1,Lun,06:30:00:PM,Tarde,Solo daños,Choque,CR 39 CL 73,10.9889412,-74.80922369999998,0.0,0.0,1,NORTE
2015-01-05 07:00:00,2015,1,Lun,07:00:00:AM,Mañana,Solo daños,Choque,CL 40 25 07,10.9664317,-74.7881065,0.0,0.0,1,CENTRO
2015-01-05 07:40:00,2015,1,Lun,07:40:00:AM,Mañana,Solo daños,Choque,CLLE 79 CRA 53,11.004304,-74.8081282,0.0,0.0,1,NORTE
2015-01-05 08:00:00,2015,1,Lun,08:00:00:AM,Mañana,Solo daños,Choque,CALLE 41 CR 7C,10.9432486,-74.79607969999998,0.0,0.0,1,SUR
