FECHA_ACCIDENTE,AÑO_ACCIDENTE,MES_ACCIDENTE,DIA_ACCIDENTE,HORA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SITIO_EXACTO_ACCIDENTE,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,LATITUD,LONGITUD
12/24/2017 12:00:00 AM,2017,12,Dom,09:30:00:PM,Con heridos,Choque,CR 6  CL 94,1.0,0.0,1,10.9465858,-74.82651259999999
01/01/2015 12:00:00 AM,2015,1,Jue,02:10:00:PM,Con heridos,Choque,VIA 40 CON 77,1.0,0.0,1,11.0161888,-74.79532689999998
01/01/2015 12:00:00 AM,2015,1,Jue,02:15:00:PM,Solo daños,Choque,CALLE 14 CR 13,0.0,0.0,1,10.9529652,-74.77188220000002
01/01/2015 12:00:00 AM,2015,1,Jue,02:20:00:PM,Solo daños,Choque,CL 74 CR 38C,0.0,0.0,1,10.9857066,-74.81242040000002
01/01/2015 12:00:00 AM,2015,1,Jue,03:30:00:PM,Con heridos,Choque,CL 45 CR 19,2.0,0.0,1,10.958396400000002,-74.79471000000002
01/01/2015 12:00:00 AM,2015,1,Jue,04:20:00:AM,Solo daños,Choque,CRA 15 CLLE 21,0.0,0.0,1,10.9535005,-74.77620259999998
01/01/2015 12:00:00 AM,2015,1,Jue,04:40:00:PM,Con heridos,Choque,CRA 14 CLLE 35,2.0,0.0,1,10.951457,-74.7888007
01/01/2015 12:00:00 AM,2015,1,Jue,04:50:00:PM,Con heridos,Atropello,CRA 6 CLLE 90,1.0,0.0,1,10.9449431,-74.8239093
01/01/2015 12:00:00 AM,2015,1,Jue,06:00:00:AM,Solo daños,Choque,CRA 6 CLLE 92,0.0,0.0,1,10.9444461,-74.82552830000002
01/01/2015 12:00:00 AM,2015,1,Jue,07:50:00:PM,Solo daños,Choque,CALLE 99 CR 56,0.0,0.0,1,11.0161353,-74.8264777
01/01/2015 12:00:00 AM,2015,1,Jue,09:25:00:PM,Solo daños,Choque,CL 47 CR 24,0.0,0.0,1,10.9671994,-74.79255140000002
01/02/2015 12:00:00 AM,2015,1,Vie,01:00:00:PM,Solo daños,Choque,CLLE 64 CRA 44,0.0,0.0,1,10.988912,-74.79912
01/02/2015 12:00:00 AM,2015,1,Vie,03:10:00:PM,Solo daños,Choque,CALLE 110 CR 51B,0.0,0.0,1,11.0163094,-74.8479578
01/02/2015 12:00:00 AM,2015,1,Vie,04:00:00:PM,Solo daños,Choque,CL 80 CR 42H,0.0,0.0,1,10.9957165,-74.8162959
01/02/2015 12:00:00 AM,2015,1,Vie,04:05:00:PM,Solo daños,Choque,AV CIRCUNVALAR CR 43 Y CR 46,0.0,0.0,1,11.0004774,-74.84121479999997
01/02/2015 12:00:00 AM,2015,1,Vie,04:20:00:AM,Con muertos,Atropello,CLLE 19 CRA 1,0.0,1.0,1,10.936994,-74.77969859999997
01/02/2015 12:00:00 AM,2015,1,Vie,04:40:00:PM,Solo daños,Choque,CR 46 CL 79,0.0,0.0,1,10.9978782,-74.8121558
01/02/2015 12:00:00 AM,2015,1,Vie,05:19:00:PM,Solo daños,Choque,CL 72 CR 53,0.0,0.0,1,10.9983184,-74.80248510000001
01/02/2015 12:00:00 AM,2015,1,Vie,05:45:00:PM,Solo daños,Choque,CLLE 53 CRA 46,0.0,0.0,1,10.9887032,-74.7894895
01/02/2015 12:00:00 AM,2015,1,Vie,06:30:00:PM,Solo daños,Choque,CR 53 CL 82,0.0,0.0,1,11.0061612,-74.81332689999998
01/02/2015 12:00:00 AM,2015,1,Vie,07:40:00:AM,Solo daños,Choque,CR 27 CL 38,0.0,0.0,1,10.967657699999998,-74.7855721
01/02/2015 12:00:00 AM,2015,1,Vie,08:15:00:AM,Solo daños,Choque,CRA 14 CLLE 38B,0.0,0.0,1,10.952881199999998,-74.7931936
01/02/2015 12:00:00 AM,2015,1,Vie,09:00:00:AM,Solo daños,Choque,CALLE 64 CR 47,0.0,0.0,1,10.9924131,-74.7981296
01/02/2015 12:00:00 AM,2015,1,Vie,09:30:00:PM,Solo daños,Choque,CLLE 87 CRA 9G,0.0,0.0,1,10.958247,-74.8250156
01/03/2015 12:00:00 AM,2015,1,Sáb,01:50:00:PM,Solo daños,Choque,CALLE 70 CR 53,0.0,0.0,1,10.9972485,-74.8007063
01/03/2015 12:00:00 AM,2015,1,Sáb,02:30:00:PM,Solo daños,Choque,CL 86 CR 59B,0.0,0.0,1,11.01613,-74.818525
01/03/2015 12:00:00 AM,2015,1,Sáb,03:00:00:PM,Solo daños,Choque,CRA 44 CLLE 59,0.0,0.0,1,10.9873824,-74.79575919999998
